order_id,customer_state,seller_states,categories,order_status,order_purchase_timestamp,delivered_customer_date,estimated_delivery_date,item_count,seller_count,total_item_value,total_freight_value,total_payment_value,max_payment_installments,min_review_score,priority_score,priority_band,risk_flags
078f6a01964ee122ef20881df839af31,PR,SP,home_appliances_2,canceled,2018-08-06 11:06:21,,2018-08-16 00:00:00,1,1,2350.0,69.2,2419.2,10,1,85,Critical,canceled_or_unavailable|low_review_score|high_installments|high_value_order|low_review_with_comment
2aaab7e991347226dbda1f61c6785f88,SP,SP,baby,canceled,2018-07-25 13:57:52,,2018-08-10 00:00:00,5,1,49.95,36.949999999999996,86.9,1,1,85,Critical,canceled_or_unavailable|low_review_score|high_freight_ratio|high_item_count|low_review_with_comment
a9c8ac0c26c178f0ad33618f96225a01,PR,PR,electronics,canceled,2018-07-22 23:36:14,,2018-08-07 00:00:00,5,1,1795.0,155.2,1950.2,8,2,85,Critical,canceled_or_unavailable|low_review_score|high_item_count|high_value_order|low_review_with_comment
b85825cdbdab14cc17f2e159f0fba217,SP,SP,baby,canceled,2018-07-21 23:27:59,,2018-08-09 00:00:00,1,1,112.0,62.86,174.86,10,1,85,Critical,canceled_or_unavailable|low_review_score|high_installments|high_freight_ratio|low_review_with_comment
f7b13a5afd48ca5bcf589a25d5377b00,MG,SP,cool_stuff,canceled,2018-07-12 12:14:56,,2018-07-30 00:00:00,1,1,2299.95,104.77,2404.72,10,1,85,Critical,canceled_or_unavailable|low_review_score|high_installments|high_value_order|low_review_with_comment
266f9c3f364a7ef351edb998487ae783,MT,SP,perfumery,delivered,2018-03-05 12:30:40,2018-04-04 19:03:02,2018-03-28 00:00:00,6,1,63.599999999999994,100.74,164.34,10,1,85,Critical,very_late_delivery|low_review_score|high_installments|high_freight_ratio|high_item_count|low_review_with_comment
808c7c69c2778bdf4689eee0286e2bef,SP,SP,furniture_decor,canceled,2018-02-22 07:57:07,,2018-03-13 00:00:00,6,1,77.94,56.04,133.98,1,1,85,Critical,canceled_or_unavailable|low_review_score|high_freight_ratio|high_item_count|low_review_with_comment
0148d3df00cebda592d4e5f966e300cc,SP,SP,housewares,canceled,2017-08-19 19:08:26,,2017-09-11 00:00:00,5,1,27.650000000000002,59.25,86.9,1,1,85,Critical,canceled_or_unavailable|low_review_score|high_freight_ratio|high_item_count|low_review_with_comment
be3b8d058b8100d8a2539ce0b2c6ec0b,RJ,SP,watches_gifts,canceled,2017-07-20 14:32:34,,2017-08-11 00:00:00,1,1,1199.9,23.16,1223.06,10,2,85,Critical,canceled_or_unavailable|low_review_score|high_installments|high_value_order|low_review_with_comment
e23eaa3bc8275c392145e736dbdea275,SP,SP,auto,canceled,2017-06-18 17:22:09,,2017-06-30 00:00:00,1,1,1999.99,26.55,2026.54,10,1,85,Critical,canceled_or_unavailable|low_review_score|high_installments|high_value_order|low_review_with_comment
